x, sol1, sol2
0.00276772, 479.522, 56.4344
0.00277172, 479.522, 56.4317
0.00277572, 479.522, 56.4289
0.00277972, 479.523, 56.4261
0.00278372, 479.523, 56.4233
0.00278772, 479.523, 56.4206
0.00279172, 479.524, 56.4178
0.00279572, 479.524, 56.415
0.00279972, 479.524, 56.4122
0.00280372, 479.525, 56.4095
0.00280772, 479.525, 56.4067
0.00281172, 479.525, 56.4039
0.00281572, 479.526, 56.4012
0.00281972, 479.526, 56.3984
0.00282372, 479.527, 56.3956
0.00282772, 479.527, 56.3928
0.00283172, 479.527, 56.3901
0.00283572, 479.528, 56.3873
0.00283972, 479.528, 56.3845
0.00284372, 479.528, 56.3818
0.00284772, 479.529, 56.379
0.00285171, 479.529, 56.3762
0.00285571, 479.53, 56.3735
0.00285971, 479.53, 56.3707
0.00286371, 479.53, 56.3679
0.00286771, 479.531, 56.3652
0.00287171, 479.531, 56.3624
0.00287571, 479.532, 56.3596
0.00287971, 479.532, 56.3569
0.00288371, 479.533, 56.3541
0.00288771, 479.533, 56.3513
0.00289171, 479.534, 56.3486
0.00289571, 479.534, 56.3458
0.00289971, 479.534, 56.3431
0.00290371, 479.535, 56.3403
0.00290771, 479.535, 56.3375
0.00291171, 479.536, 56.3348
0.00291571, 479.536, 56.332
0.00291971, 479.537, 56.3292
0.00292371, 479.537, 56.3265
0.00292771, 479.538, 56.3237
0.00293171, 479.538, 56.321
0.00293571, 479.539, 56.3182
0.00293971, 479.539, 56.3154
0.00294371, 479.54, 56.3127
0.00294771, 479.54, 56.3099
0.0029517, 479.541, 56.3072
0.0029557, 479.541, 56.3044
0.0029597, 479.542, 56.3016
0.0029637, 479.542, 56.2989
0.0029677, 479.543, 56.2961
0.0029717, 479.544, 56.2934
0.0029757, 479.544, 56.2906
0.0029797, 479.545, 56.2879
0.0029837, 479.545, 56.2851
0.0029877, 479.546, 56.2824
0.0029917, 479.546, 56.2796
0.0029957, 479.547, 56.2769
0.0029997, 479.547, 56.2741
0.0030037, 479.548, 56.2713
0.0030077, 479.549, 56.2686
0.0030117, 479.549, 56.2658
0.0030157, 479.55, 56.2631
0.0030197, 479.55, 56.2603
0.0030237, 479.551, 56.2576
0.0030277, 479.552, 56.2548
0.0030317, 479.552, 56.2521
0.0030357, 479.553, 56.2493
0.0030397, 479.554, 56.2466
0.0030437, 479.554, 56.2438
0.0030477, 479.555, 56.2411
0.00305169, 479.555, 56.2383
0.00305569, 479.556, 56.2356
0.00305969, 479.557, 56.2328
0.00306369, 479.557, 56.2301
0.00306769, 479.558, 56.2273
0.00307169, 479.559, 56.2246
0.00307569, 479.559, 56.2219
0.00307969, 479.56, 56.2191
0.00308369, 479.561, 56.2164
0.00308769, 479.561, 56.2136
